Player,Index,TotalWins
Lee J. M.,594,0
Escobar G.,595,1
Endara I.,596,0
Struvay E.,597,1
Peng H.,598,0
Lee K.,599,0
Chen T.,600,2
Brkic T.,601,2
Ungur A.,602,2
Kovapitukted P.,603,1
Trongcharoenchaikul W.,604,10
Cuevas M.,605,7
Maamoun K.M.,606,7
Diaz-Figueroa C.,607,6
Llanes F.,608,1
Arias B.,609,1
Michalski D.,610,1
Razborsek N.,611,1
Tamm K.,612,2
Tholl C.,613,1
Fetisleam E.,614,1
Knaff A.,615,6
Dima D.,616,1
Godamanna H.,617,11
Otico J. B. D.,618,1
Patrombon J.,619,1
Gonzalez W.,620,5
Zeballos F.,621,3
Nastasi U.,622,2
Przysiezny M.,623,0
Konigsfeldt C.,624,0
Habib H.,625,12
Urbanija M.,626,0
Nielsen F.,627,8
Raisma K.,628,2
Yang T.,629,1
Dissanayake S.,630,3
Gonzalez Retana R. E.,631,0
Chavez Luis D.,632,1
Kocevar-Desman T.,633,1
Mendoza A.,634,0
Ouahab L.,635,4
Echargui M.,636,5
Hess-Olesen S.,637,2
Ballout J.,638,0
Sibanda M. D. A.,639,1
Sabaliauskas A.,640,1
Saade M.,641,0
Borza B.,642,1
Hossam Y.,643,3
Susanto A.,644,1
De Silva Y.,645,4
Butts S.,646,1
Susanto D. A.,647,3
Fairbanks A.,648,0
Alvarado Larin A. E.,649,0
Ahouda A.,650,3
Dougaz A.,651,5
Garanganga T.,652,4
Frunza N.,653,1
Wong Hong K. J.,654,6
Tang J.,655,1
Althaf Dhaifullah M.,656,0
Hannestad B.,657,0
Aguilar J. C. M.,658,1
Hach Verdugo H.,659,2
Martinez L. D.,660,3
Rodriguez R.,661,11
Bratholm S. S.,662,1
Siimar K.,663,0
Yuksel A.,664,0
El Amrani R.,665,4
Niklas-Salminen P.,666,2
Neos E.,667,0
Tsivadze G.,668,1
Siimar M.,669,0
Chrysochos P.,670,16
Nadaf H. R.,671,5
Madanchi A.,672,1
Navasirisomboon J.,673,4
Rungkat C.,674,7
Vasa E.,675,1
Bandres J.,676,0
Hornby A.,677,0
Ivanov V.,678,5
Efstathiou M.,679,10
Khaledan S.,680,3
Britez B.,681,1
Zatar A.,682,4
Munoz-Abreu J.,683,1
Zitnik T.,684,0
Zemlja G.,685,2
Campbell N.,686,0
Vaise T.,687,0
Nguyen H. T.,688,1
Mednis R.,689,0
Abid M.,690,0
Ly Nam H.,691,14
Lim A.,692,3
Maqdes A.,693,5
Gonzales R.,694,2
Babelis T.,695,0
Libietis M.,696,0
Podzus M.,697,6
Al Ghareeb M.,698,3
Bationo A.,699,7
van Schalkwyk C. S.,700,3
Hamza Reguig S.,701,3
Klegou A.,702,14
Ouattara K.,703,0
van Schalkwyk C. H.,704,6
Sahtali T.,705,1
Agbo-Panzo P.,706,2
Makzoume Y.,707,8
Salim M.,708,0
Shelbayh A.,709,14
Kamaruzzaman N. S.,710,4
Trinh L. G.,711,8
Alkotop M.,712,9
Koay H. S.,713,4
Shah K. S.,714,1
Moundir A.,715,5
Dlimi Y.,716,5
Monnou S.,717,3
Njogu A.,718,1
Nguyen P. V.,719,3
Yazdani A.,720,3
Sinclair C.,721,14
Elyasi S.,722,1
Mainguy C.,723,5
Pham M. T.,724,1
Elias J.,725,0
Sigauque J.,726,0
Sleem R.,727,0
Alhogbani A. F.,728,2
Alhogbani S.,729,9
Lock C.,730,0
Hernandez Mariona K.,731,0
Perez B.,732,1
Bicknell B.,733,11
Flores J.,734,10
Abdul Salam R.,735,2
Phillips R.,736,15
Dominguez Collado J. S.,737,2
Quiros S.,738,6
Purtseladze S.,739,7
Avetisyan M.,740,2
Spasojevic A.,741,0
Khachatryan S.,742,5
Tkemaladze Z.,743,3
Peppard E.,744,0
Vallejo D.,745,9
Garay Ch.,746,0
Vergara del Puerto M. A.,747,1
Garcia I.,748,11
Lozano J.,749,0
Cungu R.,750,10
Srbljak G.,751,5
Ivanovski K.,752,7
Raicevic D.,753,0
Borba J.,754,3
Jovanovic P.,755,4
Bakshi A.,756,5
Rodesch C.,757,7
Hernandez Mariona K. A.,758,0
Al Allaf K.,759,7
Naw H.,760,2
Wong C.,761,8
Nilaweera C.,762,0
Qabazard E.,763,4
Zayed M. S.,764,3
Nawaf R.,765,1
Mubarak A.,766,0
Vu Ha Minh Duc,767,0
Naow A.,768,1
Yego I. K.,769,3
Rihane Y.,770,5
Mzai I.,771,13
Aissa Khelifa M.,772,1
Mata F.,773,3
Elsayed A.,774,4
Nhavene B.,775,6
Bagerbaseh J. A.,776,0
Makhlouf N.,777,5
Palm B.,778,0
Rodriguez M.,779,7
Roberts J.,780,2
Mallory R.,781,7
Navarro-Batles L.,782,1
Nunez P.,783,3
Ponte Suarez M.,784,2
Simons T.,785,3
Major K.,786,3
Obando A.,787,8
Lau C. R.,788,0
Arcila S.,789,3
Turcios K.,790,6
Sigurdsson E.,791,4
Magnusson A.,792,1
Vacherot V.,793,8
O'Hoisin O.,794,3
Arneodo R.,795,2
Elamin A.,796,1
Catarina L.,797,9
Calzi R.,798,4
Rakotohasy J.,799,2
Erasmus J.,800,5
Ranaivo T.,801,0
Celebic L.,802,4
Cheruiyot K.,803,2
Audu E.,804,0
Hassan M.,805,4
Ouakaa A.,806,6
Idoko E.,807,1
Mansouri S.,808,7
Strombachs R.,809,7
Diederich T.,810,0
N'tcha D.,811,4
Ng H. Y.,812,3
Alam S.,813,15
Weerasinghe S.,814,0
Thangarajah D.,815,0
Souri M.,816,0
Zayid M. S.,817,6
Esmail Yazdi H.,818,0
Vega Q.,819,2
Lunn J.,820,0
Maginley J.,821,9
Del Olmo T.,822,1
